strategy,concurrency,repeat,request_id,group,queue_ms,processing_ms,end_to_end_ms,completed_at
fifo,2,3,standard-017,standard,790.2094000000943,106.36999999996988,896.6474999997445,2213.2328964
fifo,2,3,critical-003,critical,896.6021999999612,113.65989999967496,1010.3488999998262,2213.3466022
fifo,2,3,standard-004,standard,896.6400999997859,113.68320000019594,1010.3945000000749,2213.3466524
fifo,2,3,batch-013,batch,1010.3492999996888,104.62479999978314,1115.0888000001942,2213.4513507
fifo,2,3,standard-014,standard,1010.3878999998415,104.6929000003729,1115.1761000000988,2213.4514421
fifo,2,3,batch-011,batch,1115.0932999998986,108.37639999999737,1223.6143999998603,2213.5598843
fifo,2,3,standard-002,standard,1115.169799999876,108.33219999994981,1223.6674000000676,2213.5599414
fifo,2,3,standard-007,standard,1223.6174000004212,103.18830000005619,1329.4565999999577,2213.6657347
fifo,2,3,standard-006,standard,1223.6613999998553,103.20709999996325,1329.5004000001427,2213.6657828
fifo,2,3,batch-007,batch,1329.4568999999683,108.76610000013898,1438.307899999927,2213.7745941
fifo,2,3,standard-013,standard,1329.4940999999199,108.82659999970201,1438.3882000001904,2213.7746784
fifo,2,3,standard-010,standard,1438.3098000002974,104.14709999986371,1542.5912999999127,2213.8788854
fifo,2,3,standard-015,standard,1438.3851000002323,104.90449999997509,1543.3711999999105,2213.8796695
fifo,2,3,standard-019,standard,1543.3075999999346,106.28649999989648,1649.6995999996216,2213.9860022
fifo,2,3,standard-020,standard,1543.3655000001636,106.38190000008763,1649.8101000001952,2213.9861169
fifo,2,3,batch-008,batch,1649.6993999999177,105.59409999996205,1755.4524000001948,2214.0917632
fifo,2,3,critical-001,critical,1649.804800000311,105.65019999967262,1755.5267999996431,2214.0918417
fifo,2,3,standard-011,standard,1755.4552999999942,107.62549999981275,1863.2641999997759,2214.1995831
fifo,2,3,critical-002,critical,1755.5218000002242,107.65360000004875,1863.338399999975,2214.1996613
fifo,2,3,standard-000,standard,1863.2698999999775,106.4022999998997,1969.7901999998066,2214.3061174
fifo,2,3,batch-001,batch,1863.328100000217,106.56309999967561,1969.9728000000505,2214.3063076
fifo,2,3,batch-010,batch,1969.7868000002927,106.29280000011931,2076.3497999996616,2214.4126893
fifo,2,3,standard-012,standard,1969.9675000001662,106.31089999969845,2076.397199999974,2214.4127408
fifo,2,3,critical-004,critical,2076.349299999947,106.06349999989106,2182.498800000303,2214.5188465
fifo,2,3,standard-005,standard,2076.390199999878,106.08609999962937,2182.5376000001597,2214.5188896
fifo,2,3,batch-002,batch,2182.498200000282,108.28589999982796,2290.856100000383,2214.6272133
fifo,2,3,batch-006,batch,2182.5294000000213,108.32680000021355,2290.9128999999666,2214.6272743
fifo,2,3,batch-003,batch,2290.861699999823,109.15049999994153,2400.106600000072,2214.736472
fifo,2,3,standard-001,standard,2290.9076000000823,109.15660000000571,2400.139400000171,2214.7365088
fifo,2,3,standard-003,standard,2400.105100000019,106.75910000009026,2506.928700000117,2214.8433025
fifo,4,1,batch-011,batch,14.811999999892578,109.1908999997031,124.16760000041904,2214.9680747
fifo,4,1,standard-020,standard,14.816200000041135,109.21420000022408,124.18939999997747,2214.9681164
fifo,4,1,critical-002,critical,14.81740000008358,109.22299999992902,124.19529999988299,2214.9681327
fifo,4,1,critical-003,critical,14.820100000179082,109.2305000001943,124.20130000009522,2214.9681467
fifo,4,1,batch-014,batch,124.12760000006529,107.34050000019124,231.572000000142,2215.0755253
fifo,4,1,standard-019,standard,124.15620000001582,107.37340000014228,231.61430000027394,2215.0755754
fifo,4,1,standard-006,standard,124.16580000035538,107.38760000003822,231.6265999997995,2215.0755952
fifo,4,1,batch-001,batch,124.17160000040894,107.39820000026157,231.63500000009662,2215.0756109
fifo,4,1,batch-006,batch,231.55009999982212,106.9351999999526,338.6158999996951,2215.1825989
fifo,4,1,standard-011,standard,231.5857000003234,106.95800000030431,338.6558000001969,2215.1826467
fifo,4,1,batch-008,batch,231.59769999983837,106.9695999999567,338.6680999997225,2215.1826662
fifo,4,1,batch-003,batch,231.60659999985,106.97890000028565,338.6774000000514,2215.1826824
fifo,4,1,standard-002,standard,338.59449999999924,109.28859999967244,448.00630000008823,2215.2920187
fifo,4,1,batch-007,batch,338.62760000010894,109.31369999980234,448.0468000001565,2215.2920672
fifo,4,1,batch-010,batch,338.6398000002373,109.32289999982459,448.05619999988266,2215.2920833
fifo,4,1,standard-007,standard,338.6492999998154,109.33010000007926,448.06289999996807,2215.2920966
fifo,4,1,critical-006,critical,447.9851000000963,107.86289999987275,555.9540000003835,2215.399995
fifo,4,1,standard-005,standard,448.0207999999948,107.88760000014008,555.9905000000072,2215.4000381
fifo,4,1,batch-013,batch,448.0298000003131,107.8987999999299,555.9998999997333,2215.4000542
