scenario,strategy,batch_size,repeat,request_id,request_class,replica,input_tokens,actual_output_tokens,estimated_output_tokens,max_output_tokens,queue_ms,service_ms,end_to_end_ms
empty_pool,least_requests,12,4,req-0000,faq,replica-1,126,75,,512,1122.0,271.0,1392.9999999999998
empty_pool,least_requests,12,4,req-0011,rag,replica-1,995,275,,700,1392.9999999999998,1082.5,2475.5
empty_pool,least_requests,12,4,req-0003,rag,replica-2,1556,8,,700,0.0,286.00000000000006,286.00000000000006
empty_pool,least_requests,12,4,req-0004,analysis,replica-2,4081,1019,,2048,286.00000000000006,4076.833333333333,4362.833333333333
empty_pool,least_requests,12,4,req-0007,faq,replica-2,71,107,,512,4362.833333333333,368.5,4731.333333333333
empty_pool,least_requests,12,4,req-0002,faq,replica-2,207,24,,512,4731.333333333333,114.5,4845.833333333332
empty_pool,least_requests,12,4,req-0001,rag,replica-3,1070,350,,700,0.0,1345.0000000000002,1345.0000000000002
empty_pool,least_requests,12,4,req-0005,rag,replica-3,1095,189,,700,1345.0000000000002,812.5,2157.5
empty_pool,least_requests,12,4,req-0010,faq,replica-3,122,82,,512,2157.5,293.66666666666663,2451.166666666667
empty_pool,least_requests,12,4,req-0009,rag,replica-3,752,259,,700,2451.166666666667,988.6666666666666,3439.8333333333335
empty_pool,token_max,12,4,req-0006,faq,replica-1,204,100,512,512,0.0,367.3333333333333,367.3333333333333
empty_pool,token_max,12,4,req-0008,rag,replica-1,1148,169,700,700,367.3333333333333,754.6666666666667,1122.0
empty_pool,token_max,12,4,req-0000,faq,replica-1,126,75,512,512,1122.0,271.0,1392.9999999999998
empty_pool,token_max,12,4,req-0010,faq,replica-1,122,82,512,512,1392.9999999999998,293.66666666666663,1686.6666666666665
empty_pool,token_max,12,4,req-0002,faq,replica-1,207,24,512,512,1686.6666666666665,114.5,1801.1666666666665
empty_pool,token_max,12,4,req-0003,rag,replica-2,1556,8,700,700,0.0,286.00000000000006,286.00000000000006
empty_pool,token_max,12,4,req-0005,rag,replica-2,1095,189,700,700,286.00000000000006,812.5,1098.5
empty_pool,token_max,12,4,req-0007,faq,replica-2,71,107,512,512,1098.5,368.5,1467.0
empty_pool,token_max,12,4,req-0011,rag,replica-2,995,275,700,700,1467.0,1082.5,2549.5
empty_pool,token_max,12,4,req-0009,rag,replica-2,752,259,700,700,2549.5,988.6666666666666,3538.1666666666665
empty_pool,token_max,12,4,req-0001,rag,replica-3,1070,350,700,700,0.0,1345.0000000000002,1345.0000000000002
empty_pool,token_max,12,4,req-0004,analysis,replica-3,4081,1019,2048,2048,1345.0000000000002,4076.833333333333,5421.833333333334
empty_pool,token_ewma,12,4,req-0006,faq,replica-1,204,100,78,512,0.0,367.3333333333333,367.3333333333333
empty_pool,token_ewma,12,4,req-0008,rag,replica-1,1148,169,254,700,367.3333333333333,754.6666666666667,1122.0
empty_pool,token_ewma,12,4,req-0000,faq,replica-1,126,75,78,512,1122.0,271.0,1392.9999999999998
empty_pool,token_ewma,12,4,req-0007,faq,replica-1,71,107,78,512,1392.9999999999998,368.5,1761.4999999999998
empty_pool,token_ewma,12,4,req-0010,faq,replica-1,122,82,78,512,1761.4999999999998,293.66666666666663,2055.1666666666665
empty_pool,token_ewma,12,4,req-0002,faq,replica-1,207,24,78,512,2055.1666666666665,114.5,2169.6666666666665
empty_pool,token_ewma,12,4,req-0009,rag,replica-1,752,259,254,700,2169.6666666666665,988.6666666666666,3158.333333333333
empty_pool,token_ewma,12,4,req-0003,rag,replica-2,1556,8,254,700,0.0,286.00000000000006,286.00000000000006
empty_pool,token_ewma,12,4,req-0005,rag,replica-2,1095,189,254,700,286.00000000000006,812.5,1098.5
empty_pool,token_ewma,12,4,req-0011,rag,replica-2,995,275,254,700,1098.5,1082.5,2181.0
empty_pool,token_ewma,12,4,req-0001,rag,replica-3,1070,350,254,700,0.0,1345.0000000000002,1345.0000000000002
empty_pool,token_ewma,12,4,req-0004,analysis,replica-3,4081,1019,935,2048,1345.0000000000002,4076.833333333333,5421.833333333334
empty_pool,oracle,12,4,req-0006,faq,replica-1,204,100,100,512,0.0,367.3333333333333,367.3333333333333
empty_pool,oracle,12,4,req-0004,analysis,replica-1,4081,1019,1019,2048,367.3333333333333,4076.833333333333,4444.166666666666
empty_pool,oracle,12,4,req-0003,rag,replica-2,1556,8,8,700,0.0,286.00000000000006,286.00000000000006
empty_pool,oracle,12,4,req-0008,rag,replica-2,1148,169,169,700,286.00000000000006,754.6666666666667,1040.6666666666665
empty_pool,oracle,12,4,req-0005,rag,replica-2,1095,189,189,700,1040.6666666666665,812.5,1853.1666666666665
empty_pool,oracle,12,4,req-0010,faq,replica-2,122,82,82,512,1853.1666666666665,293.66666666666663,2146.8333333333335
empty_pool,oracle,12,4,req-0002,faq,replica-2,207,24,24,512,2146.8333333333335,114.5,2261.3333333333335
