config,top_k,intro_chunks,context_window,max_context_chunks,questions,avg_context_chunks,avg_context_words,avg_unique_documents,first_chunk_gold_rate,context_hit_rate,gold_chunk_share,avg_non_gold_chunks,required_term_coverage,avg_retrieval_ms,selection_score
top_k=10; intro=1; window=0; max=10,10,1,0,10,20,10.0,1164.6,4.0,0.65,0.95,0.38,6.2,1.0,294.743,0.68209
top_k=3; intro=0; window=2; max=16,3,0,2,16,20,13.75,1578.2,4.75,0.65,0.95,0.4148,8.35,1.0,294.743,0.681887
top_k=10; intro=0; window=0; max=10,10,0,0,10,20,10.0,1143.85,5.15,0.65,0.95,0.375,6.25,1.0,294.743,0.680936
top_k=10; intro=0; window=0; max=12,10,0,0,12,20,10.0,1143.85,5.15,0.65,0.95,0.375,6.25,1.0,294.743,0.680936
top_k=10; intro=0; window=0; max=16,10,0,0,16,20,10.0,1143.85,5.15,0.65,0.95,0.375,6.25,1.0,294.743,0.680936
top_k=5; intro=3; window=0; max=12,5,3,0,12,20,11.75,1370.9,3.8,0.65,0.95,0.390455,7.2,1.0,294.743,0.680038
top_k=3; intro=5; window=2; max=6,3,5,2,6,20,6.0,693.95,1.35,0.65,0.7,0.625,2.25,1.0,294.743,0.679934
top_k=5; intro=5; window=2; max=6,5,5,2,6,20,6.0,693.95,1.35,0.65,0.7,0.625,2.25,1.0,294.743,0.679934
top_k=5; intro=5; window=1; max=12,5,5,1,12,20,11.85,1366.8,2.7,0.65,0.9,0.447727,6.55,1.0,294.743,0.679688
top_k=7; intro=5; window=1; max=12,7,5,1,12,20,11.95,1378.8,2.6,0.65,0.9,0.447727,6.6,1.0,294.743,0.679388
top_k=3; intro=5; window=0; max=12,3,5,0,12,20,11.55,1325.4,3.45,0.65,0.9,0.443409,6.5,1.0,294.743,0.679383
top_k=3; intro=3; window=1; max=16,3,3,1,16,20,13.75,1593.15,4.75,0.65,0.95,0.40717,8.45,1.0,294.743,0.679348
top_k=3; intro=1; window=0; max=12,3,1,0,12,20,11.0,1263.85,5.15,0.65,0.95,0.37803,6.95,1.0,294.743,0.678845
top_k=3; intro=1; window=0; max=16,3,1,0,16,20,11.0,1263.85,5.15,0.65,0.95,0.37803,6.95,1.0,294.743,0.678845
top_k=10; intro=5; window=1; max=12,10,5,1,12,20,12.0,1380.85,2.55,0.65,0.9,0.445833,6.65,1.0,294.743,0.678736
top_k=3; intro=3; window=1; max=12,3,3,1,12,20,11.4,1317.3,3.7,0.65,0.9,0.439848,6.45,1.0,294.743,0.678599
